SALEDATE,YEAR,MONTHNAME,SALES,COST_OF_SALES,QUANTITY_SOLD,SALES_PER_UNIT,SALESTYPE,DAILY_GROSSPROFIT,DAILY_SALESPRICEPERUNIT,AVERAGE_UNIT_SALES_PRICE
2013-12-30,2013,Dec,223937.96790,230079.62100,6827,32.80,Promo Day,-6141.65310,32.80,32.60500
2013-12-31,2013,Dec,300345.48460,306986.12050,9268,32.41,Promo Day,-6640.63590,32.41,32.60500
2014-01-01,2014,Jan,86782.46773,87986.31821,2678,32.41,Promo Day,-1203.85048,32.41,33.74032
2014-01-02,2014,Jan,200173.11680,202881.17770,6175,32.42,Promo Day,-2708.06090,32.42,33.74032
2014-01-03,2014,Jan,326906.07420,333806.29190,10084,32.42,Promo Day,-6900.21770,32.42,33.74032
2014-01-04,2014,Jan,307043.93540,313652.34830,9470,32.42,Promo Day,-6608.41290,32.42,33.74032
2014-01-05,2014,Jan,179188.88450,183083.28500,5524,32.44,Promo Day,-3894.40050,32.44,33.74032
2014-01-06,2014,Jan,306351.95090,313446.06810,9448,32.43,Promo Day,-7094.11720,32.43,33.74032
2014-01-07,2014,Jan,224020.41000,229533.97370,6911,32.42,Promo Day,-5513.56370,32.42,33.74032
2014-01-08,2014,Jan,101836.40220,99381.96752,2990,34.06,Regular Day,2454.43468,34.06,33.74032
2014-01-09,2014,Jan,107804.30490,104816.45850,3159,34.13,Regular Day,2987.84640,34.13,33.74032
2014-01-10,2014,Jan,144829.95670,141333.99630,4246,34.11,Regular Day,3495.96040,34.11,33.74032
2014-01-11,2014,Jan,146571.48240,143179.67000,4297,34.11,Regular Day,3391.81240,34.11,33.74032
2014-01-12,2014,Jan,95422.37298,93126.14724,2796,34.13,Regular Day,2296.22574,34.13,33.74032
2014-01-13,2014,Jan,114883.17380,112186.30870,3369,34.10,Regular Day,2696.86510,34.10,33.74032
2014-01-14,2014,Jan,80090.80008,78096.76018,2348,34.11,Regular Day,1994.03990,34.11,33.74032
2014-01-15,2014,Jan,98945.37116,97159.00259,2903,34.08,Regular Day,1786.36857,34.08,33.74032
2014-01-16,2014,Jan,84904.90171,83350.43316,2491,34.08,Regular Day,1554.46855,34.08,33.74032
2014-01-17,2014,Jan,135460.61970,132703.33540,3968,34.14,Regular Day,2757.28430,34.14,33.74032
2014-01-18,2014,Jan,149925.74970,146928.41180,4393,34.13,Regular Day,2997.33790,34.13,33.74032
2014-01-19,2014,Jan,74297.30718,72782.28432,2176,34.14,Regular Day,1515.02286,34.14,33.74032
2014-01-20,2014,Jan,83356.42456,81789.13612,2443,34.12,Regular Day,1567.28844,34.12,33.74032
2014-01-21,2014,Jan,89922.01429,88388.91607,2638,34.09,Regular Day,1533.09822,34.09,33.74032
